1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
2 23
1 2
1 2
